"","Intercept","AGE_DON","BMI_CALC","CREAT_TRR","HEMO_SYS_TRR","HGT_CM_CALC","ISCHTIME","TBILI","ANTIHYPE_DON_N","BMIS_1","COD_CAD_DON_ANOXIA","COD_CAD_DON_CEREBROVASCULAR_STROKE","CONTIN_CIG_DON_N","DIAG_DILATED_MYOPATHY_IDI","DIAG_DILATED_MYOPATHY_OTH","FUNC_STAT_TRR_A","HIST_HYPERTENS_DON_UNKOWN","HLAMIS_f","INOTROPES_TRR_0","PRIOR_CARD_SURG_TCR_N","PRIOR_CARD_SURG_TYPE_TCR_CABG","PULM_CATH_DON_N","STERNOTOMY_TRR_MORE","TCR_DGN_DILATED_MYOPATHY_IDI","TCR_DGN_DILATED_MYOPATHY_OTH","THORACIC_DGN_DILATED_MYOPATHY_IDI","TRANSFUSIONS_N","TRTREJ1Y_UNKOWN","VENT_SUPPORT_AFTER_LIST_UNKOWN","VENT_SUPPORT_TRR_UNKOWN","ETH_MAT_N","CARD_SURG_N","ANCEF_NO","DOPAMINE_NO","DAYS_STAT1A","INIT_HGT_CM_CALC","EBV_SEROSTATUS_POS","EDUCATION_b","ICU_UNKOWN","INFECT_IV_DRUG_TRR_N","INOTROPIC_UNKOWN","PRI_PAYMENT_TRR_pv","PROTEIN_URINE_UNKOWN","REGION_SE","SUD_DEATH_UNKOWN","TATTOOS_UNKOWN","TRTREJ1Y_N","HGT_CM_TCR","ETHCAT_b","FUNC_STAT_TCR_C","FUNC_STAT_TRR_B","FUNC_STAT_TRR_C","HIST_COCAINE_DON_UNKOWN","PRIOR_CARD_SURG_TYPE_TCR_UNKOWN","HEPARIN_NO","END_BMI_CALC","DIAB_no","DIAB_two","LAST_INACT_REASON_ONE","PRI_PAYMENT_TCR_pbma","PRI_PAYMENT_TCR_pv","PRI_PAYMENT_TRR_pbma","CLIN_INFECT_DON_N","COD_CAD_DON_HEAD_TRAUMA","INIT_STAT_TWO","INIT_BMI_CALC","BMIS_0","CHEST_XRAY_DON_ABboth","CMV_DON_POS","CORONARY_ANGIO_NO","HIST_HYPERTENS_DON_N","INFECT_IV_DRUG_TRR_UNKOWN","INIT_STAT_ONE","PROC_TY_HR_Traditional","PULM_INF_DON_0","REGION_NE","DAYS_STAT1B","OTHER_INF_DON_0","PRIOR_CARD_SURG_TYPE_TCR_OTHER","TCR_DGN_DILATED_MYOPATHY_ISC","PRIOR_CARD_SURG_TCR_UNKOWN","DIAG_CORONARY","EDUCATION_d","IMPL_DEFIBRIL_UNKOWN","CONTIN_OTH_DRUG_DON_UNKOWN","DIAG_DILATED_MYOPATHY_ISC","FUNC_STAT_TCR_D","LAST_INACT_REASON_TWO","PROC_TY_HR_OTHER","SHARE_TY_LOCAL"
"6",0.0397063318994915,-0.153310681063311,0,-0.0882817930081759,0,0,-0.0950095376239883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0776135610792817,0,0.0394704200376162,0.0876348131665465,-1.69367614414502,0.299920558552278,0,0,0,0,0,-0.221517446479319,0.143632798612126,-0.198759142053449,-0.0978025210298319,-0.0182034426236832,0.257407203187291,0,-0.0558797478417549,0.223171592033976,-0.278992121207703,-0.0222919988598239,0.0992341668147868,0.720985612567842,0,-0.312674678208165,0.014953213758888,0,0,0,0.226129222142404,-0.165564736881936,0,0.104239595744866,0,-0.161553214345872,-0.21021245169092,0.152937016830843,-0.123421964401535,0.11795393197545,0.165900318993655,-0.313441059240787,0.00077408831307309,0.477648330816109,-0.204903088563206,-0.157985363678477,0.0311869511359452,0.123475211793519,0.553877453264337,-0.357577332592224,0.0188210487898308,0.0509503273826405,0.0843016530782814,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",-0.0977881960597673,-0.15829303089771,0,0,0,0,-0.0451509573182813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11400294091224,0,-1.46001510672053,0.463040881856738,0,0,0,0,0,-0.154437801688708,0.143318779898142,-0.145566256243721,-0.0540497507513602,-0.24050465252115,0.178947514993687,0,0.200987954362567,-0.164512206045751,-0.178976377257797,-0.239593701204692,0,0.717450239030339,0,-0.331868016320341,0,0,0,0,0.0918386523249951,-0.0988750990673501,0,0.177542798142393,0,-0.376465980736886,-0.323985701730543,0.0109876799177842,0,-0.103470585622887,0.117683914624791,0,-0.0646865417801495,0,-0.162277204640924,0,0,0.115452776343494,0,-0.0721621932671876,0.106553803980913,0.307654152670833,0,-0.0811011721412808,0.143957558601264,-0.271673836244646,-0.0777834142223669,0,0,0,0,0,0,0,0,0,0
"8",0.126894578583658,-0.168304859702093,0.0810790412860051,0,0,0,-0.073610793321145,0,0,0,-0.20896465327926,0,0,0.135198788703367,0,0,0,0,0,0,0,0,0,0.0427741605226146,0,0.0434923760767834,0,-1.2788356423247,0.432746846953034,0,0,0,0,0,-0.211133024651671,0.0911757281482307,-0.0840626279856466,-0.069421760291133,0,0,0,0.13688639136525,0,-0.225279969107952,-0.504326418216056,0,0.643357039264244,0,-0.253779224349425,0,0,0,0,0.0581998123809032,-0.226620532764537,-0.13085498172624,0.240421615201615,0,-0.346337455803357,-0.255356677863641,0.0326155125906748,0,0.047084827121241,0.0878670192772603,0,-0.0184535617639036,0,0,-0.219890737679916,0,0,0,-0.208651181202867,0,0.278410011187464,0,-0.0687188290590578,0.074912135598057,-0.0980825590741716,0,0,0,0,0,0,0,0,0,0,0
"9",-0.0421827587553327,-0.18702881694968,-0.026116325747386,0,0,0,-0.0486382981104061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181815557778198,0,-1.21948585400652,0.525900661369256,0,0,0,0,0,-0.215594392438439,0.253078403168144,0,0,0,0,0,0.184498137378988,0,-0.220174217763305,-0.834906441178138,0,0.645494288669975,-0.142754275687726,-0.432796904421679,0,0,-0.125555473692362,0,0.090035168480873,-0.0670499521451124,0,0.206318606514446,0,-0.662448144448354,0,0.195494361816452,0,0.137200716026025,0.0864242059421542,0,0,0,0,-0.142454268808632,0,0,0,-0.132404703291592,0,0,0,0,-0.112436018622531,0,0,0.0408679472551071,0,0,0,0,0,0,0,0,0
"10",0.393222734877432,-0.198270117780052,0,0,0,0,-0.0640986230381738,0,0,0,0,0,0,-0.00363420443104454,0,0,0,0,0,0,0,0,0,0.0461012656837698,0,0.0905647366532818,0,-1.10184106162467,0.329544849083793,0,0,0,0,0,-0.203497616559887,0.120252990108016,-0.0956052121209891,0,0,0,0,0.229384634004572,0,-0.26230519429239,-1.61483602602477,0,0.397377643207501,0,-0.384465364754708,0,0,-0.226382233509737,0,0,-0.139821948199893,0.0165042704373794,0.3175384864994,0,-1.08361759467505,-0.100260330335322,0.155837570312188,0,0.0122719075858747,0,0,-0.097129063151372,0,0,-0.148008393941793,0,0,0,-0.0223874313604938,0,0,0,0,-0.21633644510928,0,0,-0.0127482176115094,-0.373844905969099,0.139632710421332,1.06418087957298,0,0,0,0,0,0
"11",0.0469575172519043,-0.227484069933225,0.0402624861609274,0,0,0,-0.0729979091779812,0,0,0,0,0,0,0.00832029921362254,0,0.047973957053417,0,0,0,0,0,0,0,-0.0413122898428113,0,0.105591931103266,0,-0.864603303672387,0.231375712549821,0,0,0,0,0,-0.16090767956461,0.217159341033798,0,-0.065409163433087,0,0.0152801767534493,0,-0.0454157329308637,0,-0.151186002622806,-2.36075271836308,0,0.369775602797254,-0.0993673393343642,-0.391751206315872,-0.322124313501961,0.100936878335959,-0.143091924160378,0,0,-0.17329847963356,-0.10753524250212,0.37717506336145,0,-1.30389727216829,-0.115198625977809,0.362261646709617,0,0,0,0,-0.0124094877160017,0,0,-0.0121827023710545,0,0,0.238143213905274,-0.0671792783621717,0,0.0557668989482886,0,0,-0.0841708006140114,0,0,0.294151278191658,-0.513227896163406,0.146380801387114,1.55625493135136,-0.0220214171583099,-0.197169500276897,-0.302974936560101,-1.1625456732229,-0.122009006811916,0.0133896010614872
